address,entity,source
# Mt. Gox - cold storage wallets from trustee, CryptoGround monitor, and court documents
# These are addresses held by the Mt. Gox trustee for creditor repayment
12KkeeRkiNS13GMbg7zos9KRn9ggvZtZgx,Mt. Gox,court-filings
12T4oSNd4t9ty9fodgNd47TWhK35pAxDYN,Mt. Gox,court-filings
13ahgw8sM95EDbugT3tdb8TYoMU46Uw7PX,Mt. Gox,court-filings
13dXFMyG22EsUsvaWhCqUo7SXuX7rBPog6,Mt. Gox,court-filings
13sXfpp2V16nnxYvW9FHHoBdMa3k98uJw8,Mt. Gox,court-filings
13Wv5hGhubAWgSPWtXYh6s1s7HX2N1psYg,Mt. Gox,court-filings
13xGCc4TPSYY9GYxBGVNox82KxyjkFnxMX,Mt. Gox,court-filings
1439q4Na8v88kPBqoyg8F4ueL9SYr8ANWj,Mt. Gox,court-filings
14mP6caC5dFhHdVAPCjPKM8Nm36MBDR5pM,Mt. Gox,court-filings
14p4w3TRCd6NMRSnzTmgdvQhNnbrAmzXmy,Mt. Gox,court-filings
14USZ558Rr28AZwdJQyciSQkN4JT1cEoj2,Mt. Gox,court-filings
155FsTtEFq4eGCcBxDseuwLKPbmtWbyHJR,Mt. Gox,court-filings
156HpsWfgkWYLT63uhTAGUSUF3ZMnB9WWj,Mt. Gox,court-filings
15kNZcrhxeFZgVVLK2Yjzd69tRidbFdJEZ,Mt. Gox,court-filings
15QcKCa84ZCHxbsqXDoKhi5XbmQB8jPEAd,Mt. Gox,court-filings
15SeCwVCFx5cWyrcdD1Zp1D1zxjH2SELPg,Mt. Gox,court-filings
15U4VsmWG1cdXAtizvQsW4r7iMxzp64Tgu,Mt. Gox,court-filings
16jZZkMYqjUWUtQ9DfDvHdH5ko5BcnH9XQ,Mt. Gox,court-filings
16W4XcUAKPmSES9MiUCio28msSCp8rDZgs,Mt. Gox,court-filings
16w6sZBDP58yyeyZAcvnxcEGJpwR9amM6g,Mt. Gox,court-filings
17etv2L3nhk6SCcWSNW4eoZkBy84izAm17,Mt. Gox,court-filings
17KcBp8g76Ue8pywgjta4q8Ds6wK4bEKp7,Mt. Gox,court-filings
17Tf4bVQaCzwWrDWGRPC97RLCHnU4LY8Qr,Mt. Gox,court-filings
18hcZVFPqDNAovJmb9vA6hEJrDz6uWXNGh,Mt. Gox,court-filings
18KDS3q6a4YV9Nn8jcyMvNoVPfcrfemeag,Mt. Gox,court-filings
18M1Z337NqLtK9V69bssnQUYsvb7hmfSFS,Mt. Gox,court-filings
