# Academic Bitcoin exchange address labels
# Sources:
#   figshare-btcgraphlabeling: Michalski et al. "Bitcoin Research with a Transaction Graph Dataset"
#     DOI: 10.6084/m9.figshare.26305093 (addresses.csv, ~103k labeled addresses)
#     License: CC BY 4.0
#     GitHub: github.com/hugoschnoering2/BTCGraphLabeling
#
# Other datasets evaluated but not included:
#   - Harvard Dataverse DOI:10.7910/DVN/KEWU0N: 1,666 exchange addrs but no entity names (only "exchange" label)
#   - Maru92/EntityAddressBitcoin: 30M WalletExplorer addrs (1.1GB download, same source as existing curated CSVs)
#   - Elliptic++: 822k wallet addrs but only illicit/licit labels, no entity names
#   - BABD-13: 544k addresses but behavior features only, no entity names
#   - ORBITAAL (Zenodo): 25GB+ dataset, impractical to download for address extraction
#
# Total addresses: 2114
# Generated: 2026-03-11
#
address,entity,source
176Aje9eyGCCBn8GpVWRFHeJsftsadksmQ,AnxPro,figshare-btcgraphlabeling
1Bx3xqkq9WTijgaN7LjnX4He2Ncvoco19H,AnxPro,figshare-btcgraphlabeling
1FecYGXMgqFffRx38h81kYEQ3wQ47V4XJC,AnxPro,figshare-btcgraphlabeling
1GWGcdsFbkZcUwJ8wRPC7GhnTyytTK8px5,AnxPro,figshare-btcgraphlabeling
1JccmjL4wVKn16D99DyaWs4jZaYpFpbCrS,BTC Markets,figshare-btcgraphlabeling
1NNqabJy7WTzJEwiKt7ko4Ah6QoxnCzjpc,BTC Markets,figshare-btcgraphlabeling
114LjrqaxBXLknJdXuDXVFMrdwiQYUGKmb,BTC-e,figshare-btcgraphlabeling
122irSCxc2YVPz3j1SbVrZ8sAzbsWK25Uq,BTC-e,figshare-btcgraphlabeling
1262BBa1DavNe1a9ZVvaR1YScrsTr3KpsE,BTC-e,figshare-btcgraphlabeling
12B6K1sqzQCHBRj2jTq4uuT1QBQD748B5e,BTC-e,figshare-btcgraphlabeling
12QeHSog49AZbHAqxAAKneUW3KLw5YQStV,BTC-e,figshare-btcgraphlabeling
12UojtsWwZmg2YJKfyuCbAAoKJHof4J4Ez,BTC-e,figshare-btcgraphlabeling
12z2n8YCJw1BEsJhhQPLCTuLqwH341nKnE,BTC-e,figshare-btcgraphlabeling
13BHmTthjLnPRC62RHwESE7wc3xUFUNmVx,BTC-e,figshare-btcgraphlabeling
13GQMuG5PMFNC1aApTanAMYwgVXgnRim5s,BTC-e,figshare-btcgraphlabeling
13LAfvowGhhr8HAHe13ncGyP3ksUvNMKUD,BTC-e,figshare-btcgraphlabeling
13VufMfXHRbHmttVf4Rnd9fcbZxjuSpJYK,BTC-e,figshare-btcgraphlabeling
13dA4aXMsTtHcyRbQHdYR5fEV5Psp86G66,BTC-e,figshare-btcgraphlabeling
13sPpXsKHvMy6G1wGaU3C7iXy4GoaFRfcP,BTC-e,figshare-btcgraphlabeling
13wbP2pdHFQnQRDLT3d9z4xMQC9aapY8pk,BTC-e,figshare-btcgraphlabeling
141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,BTC-e,figshare-btcgraphlabeling
14FA3T8LftchSZJPYQtWtqNWrcE7dtgnwQ,BTC-e,figshare-btcgraphlabeling
14UUu2fHMx6VD4tyou8vdu4esmZ6vD1g3B,BTC-e,figshare-btcgraphlabeling
14Ufxcdvw5Dvfui8XxTA8CJS1962Qfu8Hk,BTC-e,figshare-btcgraphlabeling
14Yxyr5XH7WeuMbLig2VELEtHZPuQhvd53,BTC-e,figshare-btcgraphlabeling
15JuniYLDCYW5mcYpwc9SdmuAaKP8dsfRv,BTC-e,figshare-btcgraphlabeling
15Nzta3Ur57KxtXD8NkFnzMr58yixN2Kjq,BTC-e,figshare-btcgraphlabeling
15sNZxi1CJxY33tgaoFwKhbMHe2gpRemz2,BTC-e,figshare-btcgraphlabeling
161P7fEvLiVAGitSPqJ7z8U8dQ3Y8Pd37X,BTC-e,figshare-btcgraphlabeling
16CWFnvjnoMH7WQGvEMVXhz8EubHNkZbVe,BTC-e,figshare-btcgraphlabeling
16D1EnsBGDtjcAkCjoA6AhftPqUeAkGfp5,BTC-e,figshare-btcgraphlabeling
16NPeQdcKktQgTbLJB46wbivSvoqLkEsBj,BTC-e,figshare-btcgraphlabeling
16ZbpCEyVVdqu8VycWR8thUL2Rd9JnjzHt,BTC-e,figshare-btcgraphlabeling
16afQqjnsDsWtXDkt5KeQPhHrqz6PthYvA,BTC-e,figshare-btcgraphlabeling
16pqDJgnHuspNWncTqmiGHU1jz7JDoAwNV,BTC-e,figshare-btcgraphlabeling
171pRUcnRXaq24nx3aZB7ZV9pTAeD4vcvQ,BTC-e,figshare-btcgraphlabeling
17FHPabjh3q2Q3VsV8yYydoGqUjVaycDSL,BTC-e,figshare-btcgraphlabeling
17tDny8jvcKZzDfm9YwzJavGEk6e99eXUZ,BTC-e,figshare-btcgraphlabeling
17wzu7UDtyRRGWXqHUa8BvY53mJvKGAr7m,BTC-e,figshare-btcgraphlabeling
183cxSNTLPg8bxyVyak7EmvrtEJsje8jL8,BTC-e,figshare-btcgraphlabeling
189NwqdEmFBDnrbjnmcEgWfcAB4gLHscir,BTC-e,figshare-btcgraphlabeling
18nCqz6GV4HhcagwVnEF6X9Ha6A3YbGEPT,BTC-e,figshare-btcgraphlabeling
18w7fztiLE7DUJiR7ikqnHHM2tEvmSHmzz,BTC-e,figshare-btcgraphlabeling
191HbLYTvhkemWSfE1YABKptgrUbWfDJmA,BTC-e,figshare-btcgraphlabeling
1936Ej4GZeJ4LBsjHQ6U8v2tooTTa1jDFf,BTC-e,figshare-btcgraphlabeling
196KaxpGUGKJzcQXpbs8WoetP4XFRDcxsT,BTC-e,figshare-btcgraphlabeling
199sYDi7mDdthXTyYKuxA8zhqxSJ3R1siQ,BTC-e,figshare-btcgraphlabeling
19QzVvFZbHV4gcvmSYw3yup5RaBXgMeXay,BTC-e,figshare-btcgraphlabeling
19cCMcT7CFY49DrzaKSA6SsvVTvYGya2WD,BTC-e,figshare-btcgraphlabeling
1A1GYrx2qvPBr1PyqHJ5ibG6ECnJBcqey5,BTC-e,figshare-btcgraphlabeling
1AB5fAh4eUT3vLcYnzss5dAfuDznEbXRmT,BTC-e,figshare-btcgraphlabeling
1AJQyW2fEX6WoAL2j7sKSJnYHdZ6dYVw8Z,BTC-e,figshare-btcgraphlabeling
1APLvLp5Suz1UgvEheLV6rdZ1bpNfZzfsC,BTC-e,figshare-btcgraphlabeling
1ApNaCE43dF1Ltw391cXsw2CKQEMAR3Yeo,BTC-e,figshare-btcgraphlabeling
1AsQjRq1L4ANRjbj6jcujAzR7fLJ5Qns26,BTC-e,figshare-btcgraphlabeling
1AwdwjwLsgGXUXgeKVZHDYvxnJVzapc9kH,BTC-e,figshare-btcgraphlabeling
1B8mrUuRPB4nfjkp8BFagqyaaYFiZz3ouG,BTC-e,figshare-btcgraphlabeling
1BGZY9ujn223uzZgh2jPDLiKcBgeGMLNDY,BTC-e,figshare-btcgraphlabeling
1BYPeE9itpPxaw9Gwxa9J9vVzKxKLurr5u,BTC-e,figshare-btcgraphlabeling
1Bg3Xm79fbj2WYKMQ6uKouh4doaojfHnE3,BTC-e,figshare-btcgraphlabeling
1BkqzkrKxDU7NTMe4XEtUcupRr5ZUeCbsj,BTC-e,figshare-btcgraphlabeling
1BqQ9SkijEXS4puvnaLKps7bAdvm36ngv,BTC-e,figshare-btcgraphlabeling
1BxjUjgLy1y9APYWsiDRuZLBjrENJoovxG,BTC-e,figshare-btcgraphlabeling
1ByFEYQjnwDTdqVEcevhfi3ZxV7eaqaPU5,BTC-e,figshare-btcgraphlabeling
1C78bx18xZRzupDnWN2GGaPqf5UPpzbosR,BTC-e,figshare-btcgraphlabeling
1CR6wL8preF8NnCWC8fzyZUKpbBeFUCcRR,BTC-e,figshare-btcgraphlabeling
1CTEb92ve1RYrmLcAgwZd63MW1rt6XAGRE,BTC-e,figshare-btcgraphlabeling
1CdgH3haxBfV54aB7q56T26TRaCF3SWeYp,BTC-e,figshare-btcgraphlabeling
1CzDGvNjCQYqTK6yPR7XnR41Z24RUAwgJh,BTC-e,figshare-btcgraphlabeling
1DT7X9uA3YyM3MgowJQPu8wSpbDVxejDYK,BTC-e,figshare-btcgraphlabeling
1DVpBfdPDBhpQfU1BhyeiSpuwNeNsDEKGK,BTC-e,figshare-btcgraphlabeling
1DdkwJvchEBBNxaRsrehXKZkSqqeZMkKoj,BTC-e,figshare-btcgraphlabeling
1DgbaaRxCdd9URoRdHz8J2kCM8Zi51RcQV,BTC-e,figshare-btcgraphlabeling
1EL4n6MgJWur1r9KWLAsLdooaptiubwbRh,BTC-e,figshare-btcgraphlabeling
1EmwXdg4TTcStW549crGRk2Y75xuJaGiQ,BTC-e,figshare-btcgraphlabeling
1Ex9ZuLdnNWEQsYHM4p9Lr8G6UmkXuiVCr,BTC-e,figshare-btcgraphlabeling
1F1ETiMGFH8YfztEFqKbXTZhRyYDZKaHmF,BTC-e,figshare-btcgraphlabeling
1F1u5kKbgb78fdL15zTWt7rT6EW66Ly6jg,BTC-e,figshare-btcgraphlabeling
1F6vHcL8jsqNiDFQQLT6JUcVdXFjfFv8Co,BTC-e,figshare-btcgraphlabeling
1FFs5hv6JBScJq63aFZvBaNsP6FwnhVgre,BTC-e,figshare-btcgraphlabeling
1FJqw7bgbb9JWXTti2zPA8XQbEmmcyn4M6,BTC-e,figshare-btcgraphlabeling
1FuntC8m9SZwejEu5u8zNSbE8bbd1K5x52,BTC-e,figshare-btcgraphlabeling
1GYncL1jsZqeXx1wNB9YMgux7LZ1hhixJn,BTC-e,figshare-btcgraphlabeling
1GmH7ULBkPZwmyQTurQu56q7GpdovekZWM,BTC-e,figshare-btcgraphlabeling
1GqBjadRvmG8zUNMD26n9bV6NomeAKuWhW,BTC-e,figshare-btcgraphlabeling
1HRJbRWSHtubsvcLJJreQ4eFDp65eFPrVk,BTC-e,figshare-btcgraphlabeling
1HdK8s3gokdug9Bg8pHDvqxNjx4kGAQ4q,BTC-e,figshare-btcgraphlabeling
1J3gwaAGaZKFTa9rYx8ydGGGiSjN37Rd8i,BTC-e,figshare-btcgraphlabeling
1JBMqcYh9xmsBxajRP5bBAvCimYBvmDwn7,BTC-e,figshare-btcgraphlabeling
1JPAnhaBs1qcKu45xbQNExBg1Mki6AXLie,BTC-e,figshare-btcgraphlabeling
1Jd66EoJKHwhy3kNb8FrZhbFoqmcxr5gn6,BTC-e,figshare-btcgraphlabeling
1JfpiJ9BhZGhVbZ3dL66yzu4RWX1t14RQp,BTC-e,figshare-btcgraphlabeling
1JgRuWoJqCzFp7NUvfjrEBVdAmzpxKFTFG,BTC-e,figshare-btcgraphlabeling
1K255xkg8UqRpBWPH74n3teCqYLQqJw4E9,BTC-e,figshare-btcgraphlabeling
1KA9Z7n6kBJMosZVP4AZprzUTEw6KchJtP,BTC-e,figshare-btcgraphlabeling
1KJbbkJZ8vnqtZTNiNnt5AmGfxMjkZ1p7y,BTC-e,figshare-btcgraphlabeling
1KTNCxLDmJ9KMbnLxWHwF2ebQ1e1KoGQ9f,BTC-e,figshare-btcgraphlabeling
1KvKg5Kbw49yLddPfhupDupoLh7NMNH1aH,BTC-e,figshare-btcgraphlabeling
1L1dnhaRi3sgfKt9Hump4in3Ats9A8ztZ,BTC-e,figshare-btcgraphlabeling
1Lc6FUDXACygLNmpex6h1aCskKWKBfnmRu,BTC-e,figshare-btcgraphlabeling
1LiRu1ymEMeooM4e7uqcPjvN1DDriWeRLE,BTC-e,figshare-btcgraphlabeling
1Lm1rsj7aEPvB3m27tgvwCYxhasFxL38Wq,BTC-e,figshare-btcgraphlabeling
1LwQtcDtU1C9EYekbGrvYuWALF6THS65Bf,BTC-e,figshare-btcgraphlabeling
1M1KAbTBZAAohtm6svHSta6THtNgXT7VSo,BTC-e,figshare-btcgraphlabeling
1MHtRRKzUAvapkDStKFYKEga3o3y338RjW,BTC-e,figshare-btcgraphlabeling
1MJ9goaZtMgGPDbtLKVa616j3njxXdszUk,BTC-e,figshare-btcgraphlabeling
1MhRLS26VACDTPMeb1q6HpND7MBrePmBBs,BTC-e,figshare-btcgraphlabeling
1N2kjHqti8MJ96hWLUAKf6Vsfkz6wMjdj8,BTC-e,figshare-btcgraphlabeling
1NCQZeQWaz6SCRmbJybh9YF3LrtXj8cXih,BTC-e,figshare-btcgraphlabeling
1NSH3dLBXq6p8ewvQNSofsqAxu8WegpqSu,BTC-e,figshare-btcgraphlabeling
1NcM6ctzNvzu5YvW3GHX8ut8XmV6eHR8Mm,BTC-e,figshare-btcgraphlabeling
1NdC1R6HreQbS33XSmAe9BCZXsqByEe63E,BTC-e,figshare-btcgraphlabeling
1P9hqKvNhX41cATARkp85j2jYpL8WFFifS,BTC-e,figshare-btcgraphlabeling
1PKgNgHCxEXCSHCZgSfJpsL49XUz9QpXf2,BTC-e,figshare-btcgraphlabeling
1PjWcrYjjT3Nr3xWq5q5XE6rtqdGjL2ftD,BTC-e,figshare-btcgraphlabeling
1QKqqWrqF1yE6LCqriXn3yrbSeu2XFcctB,BTC-e,figshare-btcgraphlabeling
1RShvky9NXVMmb9Awnwg4rhEA5ugn1aUe,BTC-e,figshare-btcgraphlabeling
1VbsXZehnNxFUAoUreF6pxHEjRCSd5XBi,BTC-e,figshare-btcgraphlabeling
1X13g4E8XQkFAd1BtmQSXVo7kKQcJpo5z,BTC-e,figshare-btcgraphlabeling
1diVB3y6VYeiLkan31NLFKczdPzchdaRF,BTC-e,figshare-btcgraphlabeling
12Jx9tnqRQFtqbso7FP8xAt3hw4eZBq37o,BTCC,figshare-btcgraphlabeling
165ahq6FowBZ2Pty18A3hUDxaab8b7u9Bq,BTCC,figshare-btcgraphlabeling
18kWfkz1dD5fGF7xEb4DR5GikA9hXVW3TK,BTCC,figshare-btcgraphlabeling
1BaTSwatnqGKsuhfZQYsy4kAgAMfV2g7Kb,BTCC,figshare-btcgraphlabeling
1CWBf5fLR2QPC8ykfEKVdcQR9B6E3M6vfo,BTCC,figshare-btcgraphlabeling
1DGNXucRsQvczFU168mNyVSJMVUJnZkoCJ,BTCC,figshare-btcgraphlabeling
1DSryWwEjnTF85eJw9B4f5z2HGG6K4omqv,BTCC,figshare-btcgraphlabeling
1JBkh8BgyEt9Sf36YjtjhheQfM1GCHvqcS,BTCC,figshare-btcgraphlabeling
1KRPCA4SUV3dZzRBvrR89Yxnaw99hHgp6B,BTCC,figshare-btcgraphlabeling
1Kw8UWSfgYXt9VCvDE45UVR4kkFczbqPNz,BTCC,figshare-btcgraphlabeling
1LDbT62sGXWyYU7mhZBN1LMcRhNWwqPNeV,BTCC,figshare-btcgraphlabeling
1LqfVF99srocFTwyKrgyY9JwiN3QwFC7wZ,BTCC,figshare-btcgraphlabeling
1M2QZepTyKXD7SH6mhWw7GL2cT4KNQE4ay,BTCC,figshare-btcgraphlabeling
1MVTg5VsEuKXdV1GqEnLAHBerU6wLCqLQQ,BTCC,figshare-btcgraphlabeling
1MzR44A8jPWDsvtCcSQ7CvvjxAumP53VWr,BTCC,figshare-btcgraphlabeling
1NaTTy3oXxKVEVnXJ3UBsPfd76X7oNxcyF,BTCC,figshare-btcgraphlabeling
1Nasty4QaGHffp2kuKSQL8xwdrRJeYm1JE,BTCC,figshare-btcgraphlabeling
1PzEGi7a6UEGCAXtGjZj8kBX2VEHcLMrqd,BTCC,figshare-btcgraphlabeling
1Q1N4bsmDEk9X3RycoCQychz5xorWB18T7,BTCC,figshare-btcgraphlabeling
33dpyNwUmPvYkr6vYnTLoSqK28YZvb4QB8,BTCC,figshare-btcgraphlabeling
384n5vVBTW3ZqsFznHuVtKSDAvAfTSEfa8,BTCC,figshare-btcgraphlabeling
3Amizd4MQbXtGp8cA9zoa8ypePqczb1N3S,BTCC,figshare-btcgraphlabeling
3ApgwbexMNE4idGErGmuvFrwpSU5a4QLiy,BTCC,figshare-btcgraphlabeling
127rB32uMuwEwnUyqukbLyUsYbQ7iJxoQj,Binance,figshare-btcgraphlabeling
129UStX6iT1TCiFhtar2XEuT73ZBbGjCyG,Binance,figshare-btcgraphlabeling
12ADt1n8RVpHoUTp7DX22M7SwS9AUCWqTw,Binance,figshare-btcgraphlabeling
12VJinsJ9ztzAAAEd1KHm2Tcqp3rvB976f,Binance,figshare-btcgraphlabeling
13PcbKjLBjVUYcSevYELQDc1pLDm6Bb9Di,Binance,figshare-btcgraphlabeling
13Tf6HCveJWZg6athQu2eqvw6rVBcfRfqY,Binance,figshare-btcgraphlabeling
15XuJwBkykvhJ7j23bsqQqVZ2S5Eg61iKC,Binance,figshare-btcgraphlabeling
15yXrSkvYWdow8fPT719oraZFouT3niaGF,Binance,figshare-btcgraphlabeling
16ftSEQ4ctQFDtVZiUBusQUjRrGhM3JYwe,Binance,figshare-btcgraphlabeling
16oi4VTqenuJSQzqaPceXfY5UPbHM1YcPv,Binance,figshare-btcgraphlabeling
16pSpbFoxrRdKrSMT2XSYd7dPsP6o7DFvh,Binance,figshare-btcgraphlabeling
16t3t5ju6exqYbkRt1qpdKqKcT8BWCXwFi,Binance,figshare-btcgraphlabeling
18LsRoMipRKeRwhvNrAf1apmyxdUvJzTKU,Binance,figshare-btcgraphlabeling
18jgCW4WX3kqZU6cacgGEReGc7nZJf7S29,Binance,figshare-btcgraphlabeling
1AN5soiGR9V87BrWxGdLyLBwvZXh1Ptn34,Binance,figshare-btcgraphlabeling
1ASkM34DxErPER5Vp6YPTY333kBBxnyPsE,Binance,figshare-btcgraphlabeling
1AkGyKYDffKE4ufCGaeeVeP3Kj3g8BQ8Vs,Binance,figshare-btcgraphlabeling
1BAZhgLoWNyMxdc12TuaqPSHWm22DFKUN5,Binance,figshare-btcgraphlabeling
1CJE7eyy4zP8qDQLECfcDgtp9XPQx6HrYa,Binance,figshare-btcgraphlabeling
