# Exchange addresses from proof-of-reserves, blockchain forensics, address clustering, and rich list labels
# Generated: 2026-03-11
#
# Sources:
#   walletexplorer-cluster: Public address clustering data (Bitfinex, OKCoin, Bitcoin.de, CoinJar, Xapo, BitPay, Korbit, Bitso, CaVirtEx, Cryptsy, BleuTrade, BTCC)
#   bitinfocharts-richlist: Public rich list labeled addresses (Gate.io, OKX, BitMEX, Crypto.com)
#   blockchain-forensics: Known forensic addresses from KuCoin 2020 hack, Bitfinex 2016 hack recovery
#
address,entity,source
# BTCC
13JmJMxfsmtiscVhJHHAHLRDqkeJLwDCNQ,BTCC,walletexplorer-cluster
14KBQmbsGhhsRNcYgRnj78arkzsDBDUoeH,BTCC,walletexplorer-cluster
14iykVoJbnqdqSXwL1dxd5jhrEmStjMAcm,BTCC,walletexplorer-cluster
15GZfB6BKqkzEHmvnireuD2gakuVe5rzC3,BTCC,walletexplorer-cluster
15GufGoLdDmcwHnQQKnzPabTomz4ZCZGQR,BTCC,walletexplorer-cluster
17TaKE9ST9pkZh1b6svJPiRmrK4B3FuwCy,BTCC,walletexplorer-cluster
19f4bD2FxF2NkmxJg2WsN33JmEG9pCGS5C,BTCC,walletexplorer-cluster
1E55hhTcPFzWy7jeVpLVGnvWcVryn5mtqr,BTCC,walletexplorer-cluster
1Ghy3746Ri1LeC1BXQXKxmKuT4wWPndVpH,BTCC,walletexplorer-cluster
1GtR2gL9v1vsdH4pCmPUQsqcdAbUM1NP4V,BTCC,walletexplorer-cluster
1H3T7B2DbGjheZHd4eLQVn7Sp7G6fsVjfx,BTCC,walletexplorer-cluster
1HEstph5Emkucm5nNJo5X4utj5Y9286DLE,BTCC,walletexplorer-cluster
1KBk4d4KbFyGv5bMYwNVprDFAghcBUJfn2,BTCC,walletexplorer-cluster
1KHUbrASx6ust5cns1FTmsxbwvq4rmvt1B,BTCC,walletexplorer-cluster
1LDmXvCDvV2zJfULw2T55NuVJuwvTHEHWs,BTCC,walletexplorer-cluster
1LP51sotiufxyWvmZrDKYDCsphNt6TjkUp,BTCC,walletexplorer-cluster
1LQXi8FfrsduvrwuSBD3REMjZDfxXjtZWu,BTCC,walletexplorer-cluster
1Lf5WjV1WBhK7zG7SYPDAdLM5LygU4ZYWa,BTCC,walletexplorer-cluster
1MR61zxeYSq5Rz7KfzvKJBuPLL5m8hrL5e,BTCC,walletexplorer-cluster
1NibLyFvkASQWfrHhdsBGaweUh6YJPeK8f,BTCC,walletexplorer-cluster
# BitPay
13EzhtK1UAJW3uBhmwcAkBN7uqEpVnAzDv,BitPay,walletexplorer-cluster
15FqFTPm3amgv2gX4ASyo5JLu9yDfvtAZz,BitPay,walletexplorer-cluster
16FprC8UUAkJReuNRqus9rvuBxMR4HWp22,BitPay,walletexplorer-cluster
17FXdktcyiyHjNF8WqTUU46qLTahfRqwTm,BitPay,walletexplorer-cluster
17qdd64x6LJT8iEN1P1BpSxasFYgYuGPJo,BitPay,walletexplorer-cluster
18mKyjyUjouG3iaoVCH4zyHEoyan6HEvWj,BitPay,walletexplorer-cluster
1BAwXXhXuEUk2n6AJMcfdi81X4mmbtx84e,BitPay,walletexplorer-cluster
1CEAcGsMrcpjxtFiKT9JKwVY628LJFcypQ,BitPay,walletexplorer-cluster
1Cnc6HdErHyxmMXn8i8k9RWQDVCoM52BNv,BitPay,walletexplorer-cluster
1D87ViVe4xXh4XNQzQPBigGKL4rTxi5hDm,BitPay,walletexplorer-cluster
1EATV1BvmSikvMnWow8LoqPbynSDmxdcZs,BitPay,walletexplorer-cluster
1EikfuSy19oV3B8sViYNvf2EDWfLXnCtGv,BitPay,walletexplorer-cluster
1FKJY6nbm9fvRoZaAkEGtR7CQp9STjvgDj,BitPay,walletexplorer-cluster
1JhBYAt3vNi3P4Jh9TDENoyDKHEVQihUmD,BitPay,walletexplorer-cluster
1Jwf6PaRo5vNdEyxjkhXqD8fMoe16Xy581,BitPay,walletexplorer-cluster
1LfAVVQV7Xt2QWgVewyyUygQ7NAVcaXZ16,BitPay,walletexplorer-cluster
1M7rYKbkthr5smABbt2SoXzJLFoTi9xj1D,BitPay,walletexplorer-cluster
1QBkeTETDomsJh5jMRbLjuy1yYey7XAug9,BitPay,walletexplorer-cluster
1QFKFV2iHXYnieHKh5bRGmKrtXHrFTKgDV,BitPay,walletexplorer-cluster
1pVmdnqXFfyq5xv2hzwGm2X8JYS6TgobH,BitPay,walletexplorer-cluster
# Bitcoin.de
12j8KeDLDTcmLH9L1uP7RmYqNLBk5w6gYL,Bitcoin.de,walletexplorer-cluster
13asmtt9g8FMmSSLHkMsuG6KXCv86kQ8hY,Bitcoin.de,walletexplorer-cluster
13rCNPkLp27VtdfLdbZnbSxm9NG8xw3Dc1,Bitcoin.de,walletexplorer-cluster
13zUF3a39eZ7BkRf3w3KTzVzTGwK8em1R3,Bitcoin.de,walletexplorer-cluster
