address,entity,source
# Poloniex - addresses from WalletExplorer.com Poloniex.com cluster
1Po1oWkD2LmodfkBYiAktwh76vkF93LKnh,Poloniex,walletexplorer
18DzDtgUwYvnuHDodzGNy6q7KtmtTEkADd,Poloniex,walletexplorer
1LgW4RA5iE98khRJ58Bhx5RLABP3QGjn9y,Poloniex,walletexplorer
16dqjjj188cyFgYmmkQ5GQRAF8TR9SEv2X,Poloniex,walletexplorer
1PbRmFhyCFQQwBPjxqUnyDBtivWeboyHze,Poloniex,walletexplorer
1PsYb4ZuqW9Y2yBFWU8pm87nJbxofTSxWD,Poloniex,walletexplorer
1GU9QLCwNniJYncMeYRKs8NiXob2HUAEEk,Poloniex,walletexplorer
1Po1oXMCWobE6kxWr8rJEP1SRq71JSD3t4,Poloniex,walletexplorer
15PmQavqCQpgYp4VRKY8q4yuSnxeeASr1A,Poloniex,walletexplorer
17u7hH2BYfS81x32MsWqpqMfkPQCGMfA4J,Poloniex,walletexplorer
# Poloniex cold wallet - labeled on bitinfocharts.com as Poloniex-coldwallet
17irB8xLxhVRerCoUyypnmpoak3QBpVp2z,Poloniex,bitinfocharts-labeled
# Bittrex - cold wallet labeled on bitinfocharts.com as Bittrex-coldwallet
16rCmCmbuWDhPjWTrpQGaU3EPdZF7MTdUk,Bittrex,bitinfocharts-labeled
# Bittrex - hot wallet confirmed via Bittrex API baseAddress and bitcoinwhoswho
1N52wHoVR79PMDishab2XmRHsbekCdGquK,Bittrex,bitinfocharts-labeled
# Bittrex - addresses from WalletExplorer.com Bittrex.com cluster
1P1nV9yHqhkoMdw4sKjUMY7YQgePvrMeEA,Bittrex,walletexplorer
15ypfpV8KyoAw9JNDezHvHRFuQ5TLujuxM,Bittrex,walletexplorer
12FtLu8iMhxjexz4GH2xyXYwERqLfxLhn7,Bittrex,walletexplorer
16upZWXdMkChaoBoGECftzUVFBSqB7nVGh,Bittrex,walletexplorer
1FjxD1oCbc51Y2iR1kqoN1FPctZzcR76RU,Bittrex,walletexplorer
1GMQXQnQsq6wgJ71qNjLd5jtTmFGTUTepz,Bittrex,walletexplorer
