address,entity,source
1KFHE7w8BhaENAswwryaoccDb6qcT6DbYY,F2Pool,mempool-mining-pools-coinbase-tag
bc1qf274x7penhcd8hsv3jcmwa5xxzjl2a6pa9pxwm,F2Pool,mempool-mining-pools-coinbase-tag
bc1q7wedv4zdu5smt3shljpu5mgns48jn299mukymc,F2Pool,bitcoin-data-mining-pools
1KGG9kvV5zXiqyQAMfY32sGt9eFLMmgpgX,F2Pool,bitcoin-data-mining-pools
12KKDt4Mj7N5UAkQMN7LtPZMayenXHa8KL,Foundry USA,mempool-mining-pools-coinbase-tag
1FFxkVijzvUPUeHgkFjBk2Qw8j3wQY2cDw,Foundry USA,mempool-mining-pools-coinbase-tag
bc1qxhmdufsvnuaaaer4ynz88fspdsxq2h9e9cetdj,Foundry USA,mempool-mining-pools-coinbase-tag
bc1p8k4v4xuz55dv49svzjg43qjxq2whur7ync9tm0xgl5t4wjl9ca9snxgmlt,Foundry USA,mempool-mining-pools-coinbase-tag
bc1qwzrryqr3ja8w7hnja2spmkgfdcgvqwp5swz4af4ngsjecfz0w0pqud7k38,Foundry USA,bitcoin-data-mining-pools
1PuJjnF476W3zXfVYmJfGnouzFDAXakkL4,ViaBTC,bitcoin-data-mining-pools
12dRugNcdxK39288NjcDV4GX7rMsKCGn6B,Antpool,mempool-mining-pools-coinbase-tag
15kiNKfDWsq7UsPg87UwxA8rVvWAjzRkYS,Antpool,mempool-mining-pools-coinbase-tag
16MdTdqmXusauybtXTmFEW4GNFPPgGxQYE,Antpool,mempool-mining-pools-coinbase-tag
16kUc5B48qnASbxeZTisCqTNx6G3DPXuKn,Antpool,mempool-mining-pools-coinbase-tag
17gVZssumiJqYMCHozHKXGyaAvyu6NCX6V,Antpool,mempool-mining-pools-coinbase-tag
1AJQ3jXhUF8WiisEcuVd8Xmfq4QJ7n1SdL,Antpool,mempool-mining-pools-coinbase-tag
1BWW3pg5jb6rxebrNeo9TATarwJ1rthnoe,Antpool,mempool-mining-pools-coinbase-tag
1CyB8GJNEsNVXtPutB36nrDY3fMXBTzXSX,Antpool,mempool-mining-pools-coinbase-tag
1D4UZG4qo8bF1MuZHSEyBHRZaxT8inatXS,Antpool,mempool-mining-pools-coinbase-tag
1DDXyKUT6q3H9e5QXm2Gv6BNNWgztFG55g,Antpool,mempool-mining-pools-coinbase-tag
1Dek9ArRHb9tyWb9gaaX8SWmkfi5V7U5Y6,Antpool,mempool-mining-pools-coinbase-tag
1DyR7HPQWjM6Zrnk7SzHVY2GEpXRGNNH9o,Antpool,mempool-mining-pools-coinbase-tag
1FdJkPdpXtK3t5utZHJAop3saLZWfPfgak,Antpool,mempool-mining-pools-coinbase-tag
1GRcX882sdBYCAWyG99iF2oz7j3nYzXhLM,Antpool,mempool-mining-pools-coinbase-tag
1Gp7iCzDGMZiV55Kt8uKsux6VyoHe1aJaN,Antpool,mempool-mining-pools-coinbase-tag
1H3u6R813MHGYhmGW6v86EYYriawRtACYD,Antpool,mempool-mining-pools-coinbase-tag
1JBVrhSSDrZrRmm4RnoWouqgGGqJMvWHi8,Antpool,mempool-mining-pools-coinbase-tag
1JwUDWVSbAY5NeCBJhxQk1E8AfETfZuPj4,Antpool,mempool-mining-pools-coinbase-tag
1K8PNogxBZ6ts532DZnzxdbjgzJLjLdXqz,Antpool,mempool-mining-pools-coinbase-tag
1LTGvTjDxiy5S9YcKEE9Lb7xSpZcPSqinw,Antpool,mempool-mining-pools-coinbase-tag
1NS4gbx1G2D5rc9PnvVsPys12nKxGiQg72,Antpool,mempool-mining-pools-coinbase-tag
1Nh7uHdvY6fNwtQtM1G5EZAFPLC33B59rB,Antpool,mempool-mining-pools-coinbase-tag
1Sjj2cPC3rTWcSTEYDeu2f3BavLosog4T,Antpool,mempool-mining-pools-coinbase-tag
1jLVpwtNMfXWaHY4eiLDmGuBxokYLgv1X,Antpool,mempool-mining-pools-coinbase-tag
