address,entity,source
1EfMVkxQQuZfBdocpJu6RUsCJvenQWbQyE,Lazarus Group,ofac-sdn-lazarus-launderer-li-jiadong
17UVSMegvrzfobKC82dHXpZLtLcqzW9stF,Lazarus Group,ofac-sdn-lazarus-launderer-li-jiadong
39eboeqYNFe2VoLC3mUGx4dh6GNhLB3D2q,Lazarus Group,ofac-sdn-lazarus-launderer-li-jiadong
39fhoB2DohisGBbHvvfmkdPdShT75CNHdX,Lazarus Group,ofac-sdn-lazarus-launderer-li-jiadong
3E6rY4dSCDW6y2bzJNwrjvTtdmMQjB6yeh,Lazarus Group,ofac-sdn-lazarus-launderer-li-jiadong
3EeR8FbcPbkcGj77D6ttneJxmsr3Nu7KGV,Lazarus Group,ofac-sdn-lazarus-launderer-li-jiadong
3HQRveQzPifZorZLDXHernc5zjoZax8U9f,Lazarus Group,ofac-sdn-lazarus-launderer-li-jiadong
3JXKQ81JzBqVbB8VHdV9Jtd7auWokkdPgY,Lazarus Group,ofac-sdn-lazarus-launderer-li-jiadong
3KHfXU24Bt3YD5Ef4J7uNp2buCuhrxfGen,Lazarus Group,ofac-sdn-lazarus-launderer-li-jiadong
3LbDu1rUXHNyiz4i8eb3KwkSSBMf7C583D,Lazarus Group,ofac-sdn-lazarus-launderer-li-jiadong
3MN8nYo1tt5hLxMwMbxDkXWd7Xu522hb9P,Lazarus Group,ofac-sdn-lazarus-launderer-li-jiadong
3N6WeZ6i34taX8Ditser6LKWBcXmt2XXL4,Lazarus Group,ofac-sdn-lazarus-launderer-li-jiadong
134r8iHv69xdT6p5qVKTsHrcUEuBVZAYak,Lazarus Group,ofac-sdn-lazarus-launderer-tian-yinyin
15YK647qtoZQDzNrvY6HJL6QwXduLHfT28,Lazarus Group,ofac-sdn-lazarus-launderer-tian-yinyin
1PfwHNxUnkpfkK9MKjMqzR3Xq3KCtq9u17,Lazarus Group,ofac-sdn-lazarus-launderer-tian-yinyin
14kqryJUxM3a7aEi117KX9hoLUw592WsMR,Lazarus Group,ofac-sdn-lazarus-launderer-tian-yinyin
1F2Gdug9ib9NQMhKMGGJczzMk5SuENoqrp,Lazarus Group,ofac-sdn-lazarus-launderer-tian-yinyin
3F2sZ4jbhvDKQdGbHYPC6ZxFXEau2m5Lqj,Lazarus Group,ofac-sdn-lazarus-launderer-tian-yinyin
1AXUTu9y3H8w4wYx4BjyFWgRhZKDhmcMrn,Lazarus Group,ofac-sdn-lazarus-launderer-tian-yinyin
1Hn9ErTCPRP6j5UDBeuXPGuq5RtRjFJxJQ,Lazarus Group,ofac-sdn-lazarus-launderer-tian-yinyin
# Thodex - Turkish exchange exit scam, operator Faruk Fatih Ozer fled with ~$2B
# Addresses identified by TokenScope blockchain investigation
3MGdeqnS4h3hRWM5VqMLHFzwgJy6c1Zz9b,Thodex,tokenscope-investigation
17FBsEF3tZz2A3dWLJ6GyLpDcRqzSwqdCV,Thodex,tokenscope-investigation
3K8jNc88YA36ZdP7FdjhqnrLcaLoSnPtYo,Thodex,tokenscope-investigation
bc1qu8ehf0wpyrdugdj9u87mghn2trw2fd5ynezp9wwm39eerzmuue0qj5d5yz,Thodex,tokenscope-investigation
3BG2G34SBHXwB9T7EEQGNWyt7YoGscLJru,Thodex,tokenscope-investigation
bc1qe4rj0pe6asrs440477u7mmyf052axqajgj6353,Thodex,tokenscope-investigation
3Pn14peRp9WrMysVMY6c8pebRXkuVKTja3,Thodex,tokenscope-investigation
35KVqtgUw3MGtgmTxLUEXKTk1cNnjgLY38,Thodex,tokenscope-investigation
1FQrLk8GtRER4kDabuL8CTE7Lr5jtMf2t8,Thodex,tokenscope-investigation
1E48d6SRCWPYywmL65voBxqQ9qjCPjNU5w,Thodex,tokenscope-investigation
1GW1xjdQatnoud4Z5skRm54Bhs7jUm62AW,Thodex,tokenscope-investigation
# PlusToken - $4.2B Chinese Ponzi, seized by Chinese police 2019 (Chainalysis/ErgoBTC tracked)
19bMszbozeHyjANgSyM9iyjsZU1sKsR6uM,PlusToken,cryptobriefing-plustoken-scam-address-2019
